course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,
PHY102,What is the SI unit of electric charge?,Joule,Coulomb,Newton,Watt,C,,,,
PHY102,The force between two point charges is proportional to what law?,Gauss's law,Ohm's law,Coulomb's law,Faraday's law,C,,,,
PHY102,If the distance between two charges is tripled, the force between them changes by what factor?,9-Jan,3-Jan,3,9,A,,,
PHY102,What is the electric field intensity due to a point charge proportional to?,1/r,1/r?,r,r?,B,,,,
PHY102,The electric field lines of a positive point charge point in which direction?,Inward,Outward,Parallel to the charge,Perpendicular to the charge,B,,,,
PHY102,What is the unit of electric field strength?,N/C,V/m,J/C,Both A and B,D,,,,
PHY102,An equipotential surface is always at what angle to the electric field?,0?,45?,90?,180?,C,,,,
PHY102,What does Gauss's law relate to?,Electric field to charge enclosed,Magnetic field to current,Electric field to voltage,Magnetic field to charge,A,,,,
PHY102,What is the permittivity of free space approximately?,8.854 x 10??? F/m,8.854 x 10??? F/m,8.854 x 10?? F/m,8.854 x 10??? F/m,A,,,,
PHY102,What is the dielectric constant of a vacuum?,0,1,10,100,B,,,,
PHY102,The capacitance of a parallel plate capacitor increases with what?,Larger plate area,Smaller plate area,Increased distance between plates,Higher voltage,A,,,,
PHY102,What is the unit of capacitance?,Farad,Volt,Coulomb,Joule,A,,,,
PHY102,What type of material is a dielectric?,Conductor,Insulator,Semiconductor,Superconductor,B,,,,
PHY102,What happens to the capacitance when a dielectric is inserted between the plates of a capacitor?,Increases,Decreases,Remains unchanged,Becomes zero,A,,,,
PHY102,The energy stored in a capacitor is proportional to what?,C,V?,CV,CV?,D,,,,
PHY102,What is the time constant of an RC circuit?,R/C,C/R,RC,1/RC,C,,,,
PHY102,What type of capacitor is used for high-frequency circuits?,Electrolytic,Mica,Ceramic,Paper,B,,,,
PHY102,What is the electric flux through a closed surface proportional to?,Charge enclosed,Charge outside,Surface area,Distance,B,,,,
PHY102,The potential difference across a capacitor is inversely proportional to what?,Capacitance,Charge,Voltage,Resistance,A,,,,
PHY102,What is the dielectric strength of a material a measure of?,Ability to conduct electricity,Ability to withstand electric field,Ability to store charge,Ability to resist voltage,B,,,,
PHY102,What is the unit of electric flux?,N?m?/C,V/m,J/C,C/m,A,,,,
PHY102,What happens to the electric field when a dielectric is placed in it?,Increases,Decreases,Remains unchanged,Becomes zero,B,,,,
PHY102,Which capacitor has the least breakdown voltage?,Mica,Paper,Ceramic,Electrolytic,D,,,,
PHY102,What is the charge stored on a 5 ?F capacitor at 100 V?,500 ?C,50 ?C,5 ?C,0.5 ?C,A,,,,
PHY102,What is the energy stored in a capacitor with C = 10 ?F and V = 200 V?,0.2 J,0.4 J,0.1 J,0.3 J,A,,,,
PHY102,What is the force between two charges of 1 ?C each, 1 m apart in vacuum?,9 x 10? N,9 x 106 N,9 x 10? N,9 x 10?? N,C,,,
PHY102,What is the electric field at a distance of 2 m from a 4 ?C charge?,900 N/C,1800 N/C,3600 N/C,7200 N/C,C,,,,
PHY102,The relative permittivity of a material is also known as what?,Dielectric constant,Capacitance,Permeability,Conductivity,A,,,,
PHY102,What type of capacitor is polarized?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What is the net capacitance of three 12 ?F capacitors in series?,4 ?F,6 ?F,12 ?F,36 ?F,A,,,,
PHY102,What is the net capacitance of three 12 ?F capacitors in parallel?,4 ?F,12 ?F,24 ?F,36 ?F,D,,,,
PHY102,What is the electric potential due to a point charge proportional to?,1/r,1/r?,r,r?,A,,,,
PHY102,What is the relationship between electric field E and electric displacement D?,E = D/e,D = E/e,E = e/D,D = e/E,D,,,,
PHY102,What type of capacitor is used for power factor correction?,Ceramic,Mica,Electrolytic,Air,C,,,,
PHY102,What is the electric field inside a conductor under static conditions?,Zero,Infinite,Constant,Variable,A,,,,
PHY102,What is the unit of dielectric strength?,V/m,N/C,J/C,Both A and B,D,,,,
PHY102,What happens to the potential difference when the plates of a charged capacitor are separated?,Increases,Decreases,Remains unchanged,Becomes zero,A,,,,
PHY102,What is the charge on a 2 ?F capacitor charged to 500 V?,1000 ?C,500 ?C,200 ?C,100 ?C,A,,,,
PHY102,What is the energy stored in a 4 ?F capacitor at 100 V?,0.02 J,0.04 J,0.01 J,0.08 J,A,,,,
PHY102,What is the electric field between two plates 5 mm apart with a potential difference of 100 V?,20 kV/m,10 kV/m,5 kV/m,2 kV/m,A,,,,
PHY102,What is the capacitance of a capacitor storing 0.5 C at 10 V?,0.05 F,0.5 F,5 F,50 F,A,,,,
PHY102,What is the force between two charges when their separation is halved?,Doubles,Quadruples,Halves,Quarter,B,,,,
PHY102,What is the electric field intensity at a point 3 m from a 9 ?C charge?,900 N/C,2700 N/C,8100 N/C,24300 N/C,C,,,,
PHY102,What is the purpose of a dielectric in a capacitor?,Increase resistance,Increase capacitance,Decrease capacitance,Increase voltage,B,,,,
PHY102,What type of capacitor is used for radio frequency tuning?,Electrolytic,Ceramic,Mica,Air,D,,,,
PHY102,What is the unit of electric potential?,Joule,Coulomb,Volt,Watt,C,,,,
PHY102,What happens to the capacitance when the distance between plates is doubled?,Doubles,Halves,Quadruples,Quarter,B,,,,
PHY102,What is the electric flux through a surface with no charge enclosed?,Zero,Infinite,Constant,Variable,A,,,,
PHY102,What is the dielectric constant of air approximately?,0,1,2,4,B,,,,
PHY102,What is the time constant of a circuit with R = 1000 O and C = 2 ?F?,0.002 s,0.02 s,0.2 s,2 s,A,,,,
PHY102,What type of capacitor has the highest dielectric constant?,Glass,Vacuum,Ceramics,Oil,C,,,,
PHY102,What is the charge stored in a 3 ?F capacitor at 300 V?,900 ?C,300 ?C,90 ?C,30 ?C,A,,,,
PHY102,What is the energy stored in a 6 ?F capacitor at 200 V?,0.12 J,0.24 J,0.06 J,0.48 J,A,,,,
PHY102,What is the electric field at a point 5 m from a 25 ?C charge?,900 N/C,1800 N/C,4500 N/C,9000 N/C,C,,,,
PHY102,What is the net capacitance of two 10 ?F capacitors in series?,5 ?F,10 ?F,15 ?F,20 ?F,A,,,,
PHY102,What is the net capacitance of two 10 ?F capacitors in parallel?,5 ?F,10 ?F,15 ?F,20 ?F,D,,,,
PHY102,What is the electric potential at a point 2 m from a 4 ?C charge?,18000 V,9000 V,4500 V,1800 V,B,,,,
PHY102,What is the unit of electric displacement?,C/m?,N/C,V/m,J/m,A,,,,
PHY102,What type of capacitor is used for DC applications only?,Mica,Ceramic,Electrolytic,Air,C,,,,
PHY102,What happens to the electric field when a conductor is placed in it?,Increases,Decreases,Becomes zero,Remains unchanged,C,,,,
PHY102,What is the force between two 2 ?C charges 2 m apart?,4.5 x 106 N,9 x 106 N,4.5 x 10? N,9 x 10? N,A,,,,
PHY102,What is the electric field intensity at 1 m from a 1 ?C charge?,9000 N/C,18000 N/C,4500 N/C,36000 N/C,A,,,,
PHY102,What is the role of a capacitor in an AC circuit?,Blocks AC,Allows AC,Blocks DC,Allows both AC and DC,B,,,,
