course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,
CSC102,What is the primary function of a computer's CPU?,Execute instructions,Store data,Display output,Manage input devices,A,,,,
CSC102,Which of the following is a characteristic of first-generation computers?,Used transistors,Used vacuum tubes,Used integrated circuits,Used microprocessors,B,,,,
CSC102,What does RAM stand for?,Read Access Memory,Random Access Memory,Read Arithmetic Memory,Random Arithmetic Memory,B,,,,
CSC102,Which device is considered an input device?,Monitor,Printer,Keyboard,Speaker,C,,,,
CSC102,What is the binary equivalent of the decimal number 13?,1101,1011,1110,1001,A,,,,
CSC102,Which language is directly understood by the computer without translation?,High-level language,Assembly language,Machine language,Scripting language,C,,,,
CSC102,What is the main difference between a compiler and an interpreter?,Compiler translates line by line,Interpreter translates the entire program,Compiler translates the entire program,Interpreter compiles code into binary,C,,,,
CSC102,What does GUI stand for?,Graphical User Interface,General User Interface,Graphical Utility Interface,Grid User Interface,A,,,,
CSC102,Which of the following is an example of application software?,Operating system,Compiler,Microsoft Word,Device driver,C,,,,
CSC102,What is the octal equivalent of the binary number 101101?,55,56,57,58,B,,,,
CSC102,Which generation of computers introduced integrated circuits?,First,Second,Third,Fourth,C,,,,
CSC102,What is a flowchart used for?,Executing code,Designing algorithms,Debugging programs,Storing data,B,,,,
CSC102,Which of the following is NOT a type of computer memory?,RAM,ROM,Cache,Keyboard,D,,,,
CSC102,What does the acronym ASCII stand for?,American Standard Code for Information Interchange,American Standard Code for International Interchange,American System Code for Information Interchange,American Standard Code for Instruction Interchange,A,,,,
CSC102,What is the hexadecimal equivalent of the binary number 11110000?,F0,E0,F1,E1,A,,,,
CSC102,Which of the following is a feature of an operating system?,Word processing,File management,Photo editing,Spreadsheet creation,B,,,,
CSC102,What is the primary storage device in a computer?,Hard disk,RAM,ROM,Cache,B,,,,
CSC102,Which of the following is NOT a peripheral device?,CPU,Monitor,Keyboard,Printer,A,,,,
CSC102,What is the purpose of a linker in programming?,Translates code,Executes code,Combines compiled modules,Debugs code,C,,,,
CSC102,What is the decimal equivalent of the hexadecimal number 2A?,42,40,38,36,A,,,,
CSC102,Which of the following is a characteristic of machine language?,Uses mnemonics,Uses binary code,Uses high-level syntax,Uses pseudocode,B,,,,
CSC102,What does the term GIGO stand for?,Garbage In, Garbage Out,General Input, General Output,Great Input, Great Output,Garbage Input, General Output,A
CSC102,Which of the following is a third-generation programming language?,Python,Assembly,FORTRAN,Machine language,C,,,,
CSC102,What is the binary equivalent of the octal number 45?,100101,101101,100100,101100,A,,,,
CSC102,Which component of the CPU performs arithmetic operations?,Control Unit,ALU,Register,Cache,B,,,,
CSC102,What is the purpose of an algorithm?,Execute code,Store data,Provide step-by-step problem-solving,Manage hardware,C,,,,
CSC102,Which of the following is an example of a hybrid computer?,Mainframe,Analog computer,Digital computer,Process control computer,D,,,,
CSC102,What does ROM stand for?,Random Only Memory,Read Only Memory,Read Output Memory,Random Output Memory,B,,,,
CSC102,Which of the following is a valid VBA variable declaration?,Dim A as Integer,Var A as Integer,Set A as Integer,Const A as String,A,,,,
CSC102,What is the hexadecimal equivalent of the decimal number 255?,FF,FE,FD,FC,A,,,,
CSC102,Which of the following is NOT a function of an operating system?,Process management,Memory management,Code compilation,File management,C,,,,
CSC102,What is the purpose of a loop in programming?,To store data,To repeat a set of instructions,To compile code,To manage memory,B,,,,
CSC102,Which of the following is a secondary storage device?,RAM,Hard disk,Cache,Register,B,,,,
CSC102,What is the binary equivalent of the decimal number 25?,11001,11010,10110,10101,A,,,,
CSC102,Which of the following is NOT a characteristic of a computer?,Speed,Accuracy,Storage,Rigidity,D,,,,
CSC102,What does the term 'bit' stand for?,Binary Integer,Binary Digit,Byte Integer,Byte Digit,B,,,,
CSC102,Which of the following is a feature of Visual Basic?,Event-driven,Low-level,Machine-dependent,Non-object-oriented,A,,,,
CSC102,What is the decimal equivalent of the binary number 1010?,8,10,12,14,B,,,,
