course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,,,,,,,
MTS104,In which quadrant does the point (3, 4) lie?,First,Second,Third,Fourth,A,,,,,,,,,,,,
MTS104,What is the abscissa of the point (5, -2)?,5,-2,0,3,A,,,,,,,,,,,,
MTS104,What is the ordinate of the point (-4, 7)?,-4,7,0,3,B,,,,,,,,,,,,
MTS104,The point (0, 5) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-6, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The coordinates of the origin are:,(0, 0),(1, 1),(-1, -1),(0, 1),A,,,,,,,,,
MTS104,The signs of coordinates in the third quadrant are:,(+, +),(-, +),(+, -),(-, -),D,,,,,,,,,
MTS104,The perpendicular distance of (2, 3) from the x-axis is:,2,3,5,v13,B,,,,,,,,,,,,
MTS104,The perpendicular distance of (4, -1) from the y-axis is:,4,-1,5,v17,A,,,,,,,,,,,,
MTS104,Points with equal abscissa and ordinate lie in:,I and III quadrants,I and II quadrants,II and IV quadrants,III and IV quadrants,A,,,,,,,,,,,,,
MTS104,The point (0, -3) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (0, 0) and (3, 4) is:,5,6,7,8,A,,,,,,,,,,,
MTS104,The point (-2, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The coordinates of a point on the x-axis are of the form:,(x, 0),(0, y),(x, y),(0, 0),A,,,,,,,,,
MTS104,The coordinates of a point on the y-axis are of the form:,(x, 0),(0, y),(x, y),(0, 0),B,,,,,,,,,
MTS104,The signs of coordinates in the fourth quadrant are:,(+, +),(-, +),(+, -),(-, -),C,,,,,,,,,
MTS104,The point (7, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The point (0, 0) is called the:,Abscissa,Ordinate,Origin,Quadrant,C,,,,,,,,,,,,
MTS104,The point (-5, 3) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance of (3, 0) from the y-axis is:,3,0,5,v9,A,,,,,,,,,,,,
MTS104,The point (4, -5) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The point (-1, 1) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,B,,,,,,,,,,,,
MTS104,The distance between (1, 1) and (4, 5) is:,5,6,7,v7,A,,,,,,,,,,,
MTS104,The point (0, 4) lies:,On the x-axis,On the y-axis,In the first quadrant,In the second quadrant,B,,,,,,,,,,,,
MTS104,The point (-3, 0) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the second quadrant are:,(+, +),(-, +),(+, -),(-, -),B,,,,,,,,,
MTS104,The point (2, 2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,A,,,,,,,,,,,,
MTS104,The perpendicular distance of (0, 5) from the x-axis is:,0,5,v5,10,B,,,,,,,,,,,,
MTS104,The point (-4, -4) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,C,,,,,,,,,,,,
MTS104,The point (5, -2) lies in:,First quadrant,Second quadrant,Third quadrant,Fourth quadrant,D,,,,,,,,,,,,
MTS104,The distance of (0, 4) from the x-axis is:,0,4,5,v16,B,,,,,,,,,,,,
MTS104,The point (0, -1) lies:,On the x-axis,On the y-axis,In the third quadrant,In the fourth quadrant,B,,,,,,,,,,,,
MTS104,The point (3, 0) lies:,On the x-axis,On the y-axis,In the first quadrant,In the fourth quadrant,A,,,,,,,,,,,,
MTS104,The signs of coordinates in the first quadrant are:,(+, +),(-, +),(+, -),(-, -),A,,,,,,,,,
